"","geoid2","date","month","day","year","elapsed","country","continent","population_2019","cases","deaths","date_rep","cases_cum","deaths_cum","deaths_cum_log","deaths_cum_l7","deaths_cum_g7","region","gov_effect","trade","ineq","gdp_pc","pop_tot","older_m","older_f","air_travel","fdi","pop_density","urban","pop_below14_2018","migration_share","oil","life_exp_2017","soc_insur_cov","soc_contrib","soc_safety","polity","gini","elf_epr","rq_polarization","count_powerless","share_powerless","media_critical","journal_harass","health_equality","property_rights","transparent_law","bureaucracy_corrupt","pos_gov_lr","polar_rile","trust_people","trust_gov","electoral_pop","federal_ind","woman_leader","checks_veto","polariz_veto","dist_senate","dist_presid","dist_parlm","dist_anyelec","elect_pressure","infections_mers","infections_sars","infections_ebola","infection","vdem_libdem","al_etfra","al_religfra","fe_etfra","vdem_mecorrpt","share_health_ins","pandemic_prep","resp_disease_prev","detect_index","doctors_pc","hosp_beds_pc","literacy_rate","healthcare_qual","acc_sanitation","health_exp_pc","hdi","health_index","respond_index","scode","state_fragility","effect","legit","seceff","secleg","poleff","polleg","ecoeff","ecoleg","soceff","socleg","pr","share_older","pop_tot_log","pop_density_log","distancing_bin","lockdown_bin","lockdown_n","distancing_n","metro_area","iso_3166_2_code","census_fips_code","retail","grocery","parks","transit","work","residential","mobility_index","stringency","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","H1_Public.information.campaigns","temp_cumul","precip_cumul","weeknumber","excess_deaths_weekly","excess_deaths_last_obs","excess_deaths_cum","excess_deaths_cum_log","deaths_cum_per_million","deaths_cum_per_million_log","excess_deaths_cum_per_million","excess_deaths_cum_per_million_log","forcats..fct_explicit_na.geoid2.","relative_start","elapsed_rel","relative_start_d","elapsed_rel_d"
"New Caledonia","NCL","2021-06-21","6","21","2021","538","New Caledonia","Oceania","","0","0","2021-06-21","129","0","0","0","","East Asia & Pacific","","","","","0.284","12419","13636","","348749223.38","15.539","","22.741","24.434","","77.149","","","","","","","","","","","","","","","","","","","","0","","0","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.172","-1.259","2.743","","","","","","","","","","","","","","","","","","","","","","","","","23.091","107.498","25_2021","","","","","0","0","","","NCL","13","525","",""
"Niger","NER","2021-06-21","6","21","2021","538","Niger","Africa","","0","0","2021-06-21","5469","193","5.268","193","0","Sub-Saharan Africa","-0.766","37.586","","1.196","22.443","280994","301410","","466042272.997","17.718","5.408","49.984","0.951","1.363","61.599","1.373","","20.113","5","38","0.621","0.764","1","0.005","0.96","1.539","-0.237","0.6","1.33","0.626","0.75","","46.42","","0","","0","2","","","279","279","279","0.004","","","","0","0.45","0.652","0.201","0.637","2.357","3.08","32.2","2.611","44.4","1.9","30","30.6","28.4","12.9","15","0.4","21.9","20.1","NIR","19","10","9","0","2","3","1","4","3","3","3","1","2.595","3.111","2.875","","","","","","","","","","","","","","1.8","","","","","","","","","","","27.717","11.261","25_2021","","","","","8.6","2.262","","","NER","13","525","20","518"
"Nigeria","NGA","2021-06-21","6","21","2021","538","Nigeria","Africa","206139587","233","1","2021-06-21","167292","2118","7.659","2117","0","Sub-Saharan Africa","-1.023","33.008","26.7","5.155","195.875","2550966","2830452","15.916","1997485164.948","215.065","16.514","43.867","0.658","6.124","53.95","2.707","","3.764","7","43.9","0.793","0.64","3","0.13","2.147","-0.28","-1.317","0.749","0.756","0.811","0","0.562","13.083","40.256","0","-0.535","0","4","4","1084","1079","1084","1079","0.001","","","20","0","0.446","0.85","0.742","0.805","2.372","2.2","37.8","2.097","44.6","39.5","50","51.1","41.9","32.6","28","0.5","19.9","43.8","NIG","18","9","9","2","3","2","1","3","3","2","2","0","2.747","5.277","5.371","","","","","","","","","","","","","","-7.4","","","","","","","","","","","27.709","90.278","25_2021","","","","","10.813","2.469","","","NGA","83","455","104","434"
"Nicaragua","NIC","2021-06-21","6","21","2021","538","Nicaragua","America","","0","0","2021-06-21","7696","188","5.242","188","0","Latin America & Caribbean","-0.802","93.621","","5.695","6.466","145203","194073","","837600000","53.727","16.208","30.202","0.662","0","74.068","13.708","","59.75","6","42.98","0.251","0.449","3","0.127","-0.185","-1.029","-0.355","0.548","-1.504","0.76","0.333","","4.25","27.5","1","0.689","0","2","2","","606","606","606","0.002","","","","0","0.14","0.484","0.429","0.402","3.075","12.2","43.1","3.135","39.9","91.4","90","78","61.2","76.3","297","0.7","45.9","39.2","NIC","7","5","2","0","1","2","1","2","0","1","0","1","5.247","1.866","3.984","","","","","","","","","","","","","","-5.8","","","","","","","","","","","25.565","169.996","25_2021","","","","","29.077","3.404","","","NIC","41","497","69","469"
"Netherlands","NLD","2021-06-21","6","21","2021","538","Netherlands","Europe","17407585","5934","13","2021-06-21","1677380","17705","9.782","17692","0.002","Europe & Central Asia","1.85","157.653","","56.455","17.232","1525161","1782696","17.6","-361467375015.11","511.476","12.416","16.108","11.696","0.021","81.761","","36.211","","10","26.475","0","0","0","0","2.494","1.736","2.697","0.885","3.115","0.026","0","-1.073","67.417","34.584","0","0.059","0","6","6","1176","","385","385","0.003","2","","","0","0.85","0.105","0.722","0.077","3.768","98.9","75.6","4.232","86","347.8","470","99.9","96.1","97.7","4252","0.9","70.2","79.1","NTH","0","0","0","0","0","0","0","0","0","0","0","1","19.196","2.847","6.237","","","","","","","","","","","","","","-16.4","","","","","","","","","","","10.47","60.404","25_2021","","","","","1027.471","6.936","","","NLD","62","476","76","462"
"Norway","NOR","2021-06-21","6","21","2021","538","Norway","Europe","5367580","1253","1","2021-06-21","129332","790","6.673","789","0.006","Europe & Central Asia","1.887","71.074","","63.333","5.312","418268","487366","","-6634007435.047","14.548","19.056","17.549","14.236","3.756","82.61","","21.348","","10","24.975","0","0","0","0","2.401","2.589","2.595","0.841","2.965","0.022","0","-1.221","73.73","","0","0.209","1","4","4","","","551","551","0.002","","","","0","0.861","0.059","0.205","0.098","3.781","100","64.6","4.59","58.6","438.5","390","99.9","96.6","98.1","5281","1","58.5","58.2","NOR","2","0","2","0","0","0","0","0","2","0","0","1","17.049","1.67","2.677","","","","","","","","","","","","","","-11.6","","","","","","","","","","","1.856","96.172","25_2021","","","","","148.722","5.009","","","NOR","62","476","90","448"
"Nepal","NPL","2021-06-21","6","21","2021","538","Nepal","Asia","29136808","12584","314","2021-06-21","621056","8726","9.074","8412","0.065","South Asia","-0.902","55.085","","3.253","28.088","733401","875346","15.009","68186670.745","195.939","4.734","30.414","1.818","0","70.169","5.259","","40.138","7","38.4","0.766","0.678","3","0.5","0.422","0.673","-0.541","0.682","0.869","0.675","0.857","0.994","","","0","0.124","0","3","3","691","1097","994","691","0.001","","","","0","0.494","0.663","0.142","0.677","2.667","0.1","35.1","3.231","22","59.8","30","59.6","40","46.1","29","0.6","28.1","41.9","NEP","9","7","2","0","1","1","1","4","0","2","0","1","5.728","3.335","5.278","","","","","","","","","","","","","","-12","","","","","","","","","","","8.467","94.578","25_2021","","","","","310.668","5.742","","","NPL","104","434","160","378"
"New Zealand","NZL","2021-06-21","6","21","2021","538","New Zealand","Oceania","4822233","11","0","2021-06-21","2720","26","3.296","26","0","East Asia & Pacific","1.67","55.942","","42.635","4.841","352911","404821","16.663","2128856170.745","18.385","32.16","19.653","22.96","0.159","81.659","","2.025","","10","32.55","0.508","0.715","1","0.092","2.324","3.342","1.52","0.892","2.512","0.029","0.5","-1.828","59.502","53.925","0","0.62","1","2","2","","","1315","1315","0.001","","1","","0","0.827","0.397","0.811","0.363","3.413","100","54","4.16","36.7","306.1","280","99.9","92.4","100","2882","0.9","45.2","58.1","NEW","2","0","2","0","0","0","0","0","2","0","0","1","15.652","1.577","2.912","","","","","","","","","","","","","","-4.8","","","","","","","","","","","11.622","146.854","25_2021","","","","","5.371","1.852","","","NZL","83","455","111","427"
"Oman","OMN","2021-06-21","6","21","2021","538","Oman","Asia","5106622","15938","228","2021-06-21","250572","2741","7.916","2513","0.037","Middle East & North Africa","0.187","102.784","","28.594","4.829","55286","60048","16.161","5941222366.71","15.604","29.953","22.247","41.086","21.79","77.393","","","","-8","34.4","0.385","0.77","0","0","-1.785","-1.065","2.122","0.596","-0.351","0.315","0","","","","0","-1.029","0","1","1","","","1329","1329","0.001","24","","","0","0.128","0.437","0.432","0.439","0.223","97","43.1","3.486","41.1","191.5","160","96.1","76.2","99.3","2520","0.8","25.4","41.6","OMA","5","2","3","0","0","2","0","0","3","0","0","1","2.388","1.575","2.748","","","","","","","","","","","","","","-27.6","","","","","","","","","","","26.502","6.074","25_2021","","","","","567.556","6.343","","","OMN","69","469","118","420"
"Pakistan","PAK","2021-06-21","6","21","2021","538","Pakistan","Asia","220892331","6986","284","2021-06-21","949175","22007","9.999","21723","0.019","South Asia","-0.634","29.043","","4.74","212.215","4672822","4479539","15.744","1737000000","275.289","20.072","35.27","1.921","0.341","66.947","5.935","","10.359","7","34.083","0.636","0.725","2","0.23","1.253","-0.962","-2.077","0.565","-1.242","0.701","0.167","-1.134","23.497","63.567","0","0.728","0","4","","385","","1237","385","0.003","","","","0","0.269","0.71","0.385","0.532","1.737","26.62","35.5","3.308","41.7","97.8","60","57","37.6","58.3","40","0.6","19.9","38.7","PAK","15","7","8","2","3","0","3","3","0","2","2","0","4.313","5.358","5.618","","","","","","","","","","","","","","6.6","","","","","","","","","","","20.976","23.535","25_2021","","","","","103.701","4.651","","","PAK","76","462","90","448"
"Panama","PAN","2021-06-21","6","21","2021","538","Panama","America","","0","0","2021-06-21","393727","6475","8.776","6475","0","Latin America & Caribbean","-0.019","89.392","37.1","31.049","4.177","157520","181003","16.376","5945110000","56.186","42.699","27.062","4.701","0","78.149","20.803","","65.993","9","46.763","0.339","0.587","4","0.198","1.925","1.018","0.935","0.694","0.847","0.345","0","-0.883","","16.329","0","0.687","0","3","","","1516","1516","1516","0.001","","","","0","0.612","0.553","0.334","0.507","2.724","51.8","43.7","3.458","44.6","159.4","230","94.1","68.3","76.9","1148","0.8","35.1","46.4","PAN","3","0","3","0","0","0","1","0","2","0","0","1","8.105","1.43","4.029","","","","","","","","","","","","","","-36","","","","","","","","","","","26.063","203.824","25_2021","","","","","1550.203","7.347","","","PAN","6","532","20","518"
"Peru","PER","2021-06-21","6","21","2021","538","Peru","America","","0","0","2021-06-21","2029625","190425","12.157","190425","0","Latin America & Caribbean","-0.245","48.914","32.1","12.782","31.989","1207306","1380179","16.692","6487906280.719","24.992","32.482","25.791","0.29","0.203","76.286","10.424","11.664","57.881","9","44.75","0.593","0.875","3","0.423","1.829","1.059","-0.503","0.69","0.132","0.467","0","0.677","4.173","11.96","0","-0.617","0","4","4","","396","400","396","0.003","","","","0","0.625","0.657","0.199","0.638","2.924","64.4","49.2","4.124","38.3","111.6","160","94.2","64.3","76.8","436","0.7","45","51.7","PER","6","2","4","0","1","1","1","1","2","0","0","1","8.089","3.465","3.219","","","","","","","","","","","","","","-31","","","","","","","","","","","20.113","130.359","25_2021","","","","","5952.78","8.692","","","PER","13","525","20","518"
"Philippines","PHL","2021-06-21","6","21","2021","538","Philippines","Asia","109581085","43376","833","2021-06-21","1359015","23621","10.07","22788","0.041","East Asia & Pacific","0.05","72.163","","8.516","106.652","2294705","3168706","17.579","9948598823.969","357.688","14.278","30.963","0.21","0.049","70.952","8.922","","33.83","8","40.217","0.254","0.448","2","0.126","1.563","-0.44","-0.996","0.836","-0.802","0.642","0","0.572","5.34","81.6","1","0.897","0","5","5","789","789","789","789","0.001","2","14","","0","0.413","0.239","0.306","0.161","2.42","82","47.6","4.553","63.6","111","100","96.4","51.2","75","108","0.7","38.2","43.8","PHI","14","8","6","3","3","2","2","2","0","1","1","1","5.123","4.67","5.88","","","","","","","","","","","","","","-31.8","","","","","","","","","","","26.554","202.648","25_2021","","","","","221.477","5.405","","","PHL","69","469","76","462"
"Papua New Guinea","PNG","2021-06-21","6","21","2021","538","Papua New Guinea","Oceania","","0","0","2021-06-21","17013","173","5.159","173","0","East Asia & Pacific","-0.677","","","4.236","8.606","138009","158502","13.78","1134643537.839","19.004","","35.816","0.338","2.362","64.01","","","","5","","0.066","0.131","1","0.034","1.442","0.578","-1.918","0.687","0.711","0.705","0","","","","0","0.689","0","3","","","","856","856","0.001","","","","0","0.318","0.272","0.552","1","2.612","","27.8","3.5","31.8","5.5","318","61.6","31.8","18.6","65","0.5","11.6","34.8","PNG","10","5","5","0","1","1","0","2","3","2","1","0","3.445","2.152","2.945","","","","","","","","","","","","","","9.8","","","","","","","","","","","25.406","268.55","25_2021","","","","","20.102","3.049","","","PNG","104","434","335","203"
"Poland","POL","2021-06-21","6","21","2021","538","Poland","Europe","","0","0","2021-06-21","2878840","74829","11.223","74829","0","Europe & Central Asia","0.663","107.478","","31.766","37.975","2617976","4034163","16.043","16697000000","124.023","4.655","15.052","1.604","0.035","77.754","43.917","40.28","31.35","10","30.087","0.078","0.149","3","0.015","0.515","1.028","1.388","0.849","0.587","0.138","0","1.861","22.705","16.668","1","0.37","0","2","2","1329","74","1329","74","0.014","","","","0","0.671","0.118","0.171","0.047","3.445","97.5","55.4","2.815","61.7","229","650","94.5","82.4","98.1","1244","0.9","48.9","47.5","POL","0","0","0","0","0","0","0","0","0","0","0","1","17.517","3.637","4.82","","","","","","","","","","","","","","-28.2","","","","","","","","","","","9.093","45.5","25_2021","","","","","1970.494","7.587","","","POL","6","532","27","511"
"Puerto Rico","PRI","2021-06-21","6","21","2021","538","Puerto Rico","America","","0","0","2021-06-21","139753","2540","7.84","2540","0","Latin America & Caribbean","-0.157","105.998","","34.116","3.193","248036","348381","","","360.017","76.858","16.836","7.465","0","79.635","","","","","51.057","","","","","","","","","","","","","17.832","15.094","0","","0","","","237","237","237","237","0.004","","","","0","","","","","","","","3.145","","","","","","","","","","","","","","","","","","","","","","","","18.677","1.161","5.886","","","","","","","","","","","","","","-25","","","","","","","","","","","25.715","163.889","25_2021","","","","","795.402","6.68","","","PRI","6","532","6","532"
"Portugal","PRT","2021-06-21","6","21","2021","538","Portugal","Europe","","0","0","2021-06-21","865806","17068","9.745","17068","0","Europe & Central Asia","1.209","86.997","","34.013","10.284","947538","1310392","16.67","7815679195.403","112.262","41.174","13.458","8.09","0","81.424","","29.81","","10","33.575","0","0","0","0","2.014","1.508","1.661","0.898","2.255","0.128","0.667","-2.374","","","0","0.689","0","4","4","","319","1306","319","0.003","","","","0","0.828","0.047","0.144","0.04","3.639","100","60.3","4.07","50.5","442.6","340","94.5","85.7","99.4","1844","0.8","55","67.7","POR","0","0","0","0","0","0","0","0","0","0","0","1","21.956","2.331","4.721","","","","","","","","","","","","","","-18","","","","","","","","","","","15.57","63.524","25_2021","","","","","1659.694","7.415","","","PRT","6","532","20","518"
"Paraguay","PRY","2021-06-21","6","21","2021","538","Paraguay","America","","0","0","2021-06-21","407721","11743","9.371","11743","0","Latin America & Caribbean","-0.517","70.676","35.9","12.85","6.956","213950","233340","13.237","386916058.14","17.508","46.322","29.441","2.357","0","73.992","5.396","21.79","64.817","9","45.45","0.105","0.203","1","0.02","1.256","0.182","-1.631","0.706","0.386","0.613","0","-1.207","","27.279","0","","0","2","2","1145","1137","1145","1137","0.001","","","","0","0.436","0.169","0.212","0.132","1.773","23.6","35.7","3.302","34.6","128.6","130","95.1","56.7","91.2","396","0.7","28.2","26.8","PAR","8","4","4","0","1","1","0","2","3","1","0","1","6.43","1.94","2.863","","","","","","","","","","","","","","-20","","","","","","","","","","","24.098","102.954","25_2021","","","","","1688.166","7.432","","","PRY","13","525","55","483"
"Palestinian Territories","PSE","2021-06-21","6","21","2021","538","Palestinian Territories","Asia","","0","0","2021-06-21","341514","3819","8.248","3819","0","Middle East & North Africa","-0.761","79.601","","5.662","4.569","67701","75458","","210694555.545","758.985","","38.947","5.473","0","73.74","","","","","36.257","","","","","","","","","","","","","17.713","40.68","0","","0","","","","","","2000","0","","","","0","","","","","","16.246","","3.783","","","","","","","","","","","","","","","","","","","","","","","","3.133","1.519","6.632","","","","","","","","","","","","","","","","","","","","","","","","","","","25_2021","","","","","835.834","6.73","","","PSE","6","532","118","420"
"French Polynesia","PYF","2021-06-21","6","21","2021","538","French Polynesia","Oceania","","0","0","2021-06-21","18963","142","4.963","142","0","East Asia & Pacific","","","","","0.278","11175","11843","","-45315626.954","75.869","","22.762","10.63","","77.251","","","","","","","","","","","","","","","","","","","","0","","0","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.289","-1.281","4.329","","","","","","","","","","","","","","","","","","","","","","","","","","","25_2021","","","","","511.382","6.239","","","PYF","6","532","209","329"
"Qatar","QAT","2021-06-21","6","21","2021","538","Qatar","Asia","2881060","1070","6","2021-06-21","220800","583","6.37","577","0.014","Middle East & North Africa","0.631","87.986","","94.503","2.782","26435","11671","17.189","-2186263736.264","239.593","","13.541","75.498","14.242","79.981","","","","-10","39.9","0.205","0.41","0","0","-1.795","-1.108","2.707","0.44","-0.467","0.533","0.167","","21.447","83.347","0","-0.617","0","1","1","","","","2000","0","19","","","0","0.085","0.746","0.095","","0.283","100","41.2","3.409","32.7","196.4","120","97.7","81.7","100","3205","0.9","38.8","48","QAT","3","0","3","0","0","0","0","0","3","0","0","","1.37","1.023","5.479","","","","","","","","","","","","","","-1.2","","","","","","","","","","","28.144","12.237","25_2021","","","","","209.586","5.35","","","QAT","69","469","118","420"
"Kosovo","RKS","2021-06-21","6","21","2021","538","Kosovo","Europe","","0","0","2021-06-21","107655","2252","7.72","2252","0","","-0.428","82.007","","10.895","1.797","","","","318542991.553","","","","","0","71.946","35","","14.05","8","28.337","0.187","0.337","5","0.094","0.295","0.935","0.833","0.44","0.357","0.458","0.25","","","","0","","0","","","","352","1304","352","0.003","","","","0","","","","","","","","","","","","","","","","","","","KOS","5","1","4","0","0","0","3","1","0","0","1","","","0.586","","","","","","","","","","","","","","","","","","","","","","","","","","9.565","72.078","25_2021","","","","","1253.141","7.134","","","RKS","6","532","41","497"
"Romania","ROU","2021-06-21","6","21","2021","538","Romania","Europe","19328838","506","530","2021-06-21","1080282","32391","10.386","31861","0.032","Europe & Central Asia","-0.253","86.173","","28.565","19.473","1430658","2140238","15.406","7343560129.252","84.634","9.354","15.535","1.163","0.318","75.31","46.86","37.883","61.833","9","33.15","0.293","0.497","2","0.092","0.972","1.19","0.138","0.878","-0.384","0.396","0","-1.924","11.552","20.974","0","0.37","0","4","","295","1705","295","295","0.003","","1","","0","0.587","0.307","0.237","0.3","2.197","94.3","45.8","2.788","42.8","266.9","630","98.6","78.3","81.8","901","0.8","36.7","35.3","RUM","3","1","2","0","0","0","2","1","0","0","0","1","18.338","2.969","4.438","","","","","","","","","","","","","","-31.6","","","","","","","","","","","10.041","52.809","25_2021","","","","","1663.419","7.417","","","ROU","69","469","90","448"
"Russia","RUS","2021-06-21","6","21","2021","538","Russia","Europe","145934460","94418","2999","2021-06-21","5316826","129800","11.774","126801","0.024","Europe & Central Asia","-0.061","51.133","29.9","26.668","144.478","6964320","14238454","18.414","8784850000","8.822","23.191","17.914","8.116","6.456","72.432","56.381","21.933","65.835","4","34.586","0.346","0.513","36","0.167","-0.681","-0.405","0.573","0.882","-0.305","0.778","0.125","0.225","23.557","54.91","0","","0","2","2","","1467","568","568","0.002","","1","","0","0.107","0.245","0.44","0.333","0.545","88","44.3","3.307","34.1","397.5","820","99.7","75.1","88.8","757","0.8","37.6","50.1","RUS","9","4","5","2","2","1","1","1","2","0","0","1","14.675","4.973","2.177","","","","","","","","","","","","","","-16.6","","","","","","","","","","","-4.291","37.146","25_2021","","","","","898.408","6.802","","","RUS","69","469","97","441"
"Rwanda","RWA","2021-06-21","6","21","2021","538","Rwanda","Africa","","0","0","2021-06-21","30813","382","5.948","382","0","Sub-Saharan Africa","0.207","49.487","","2.089","12.302","148723","212730","13.886","301552668.12","498.66","8.599","39.976","3.803","0","68.341","10.784","7.841","20.088","-3","50.071","0.272","0.528","1","0.84","-2.156","-0.738","0.069","0.615","1.032","0.12","0","-0.508","16.634","63.523","0","-0.752","0","","","1664","1607","1298","1298","0.001","","","","0","0.159","0.324","0.507","0.18","2.516","91.036","34.2","3.46","36","6.4","160","70.8","36","62.3","44","0.5","24.1","31.9","RWA","15","8","7","0","2","2","2","4","2","2","1","1","2.938","2.51","6.212","","","","","","","","","","","","","","-4.6","","","","","","","","","","","18.528","98.833","25_2021","","","","","31.052","3.467","","","RWA","13","525","167","371"
"Saudi Arabia","SAU","2021-06-21","6","21","2021","538","Saudi Arabia","Asia","","0","0","2021-06-21","474191","7677","8.946","7677","0","Middle East & North Africa","0.323","66.567","","47.597","33.7","594563","522116","17.483","4247107440.55","15.677","47.28","25.043","32.295","23.054","74.874","","","","-10","50.35","0.736","0.749","0","0","-1.237","-1.997","1.762","0.465","-0.972","0.632","0","0.595","","","0","-1.031","0","1","1","","","","2000","0","2058","","","1","0.039","0.18","0.127","0.553","0.396","","49.3","3.469","74.4","256.8","270","94.4","77.1","100","2114","0.9","44.8","32.6","SAU","8","0","8","0","2","0","3","0","3","0","0","","3.314","3.517","2.752","","","","","","","","","","","","","","-24.8","","","","","","","","","","","25.493","7.378","25_2021","","","","","227.805","5.433","","","SAU","6","532","34","504"
"Sudan","SDN","2021-06-21","6","21","2021","538","Sudan","Africa","","0","0","2021-06-21","36347","2737","7.915","2737","0","Sub-Saharan Africa","-1.62","22.594","","4.161","41.802","696028","800950","12.506","1135787164.049","","13.239","40.509","1.251","2.606","64.881","","","","-4","","0.796","0.611","4","0.633","0.337","0.299","-1.761","0.456","-0.856","0.733","0.5","-2.289","23.875","","0","0.769","0","2","2","","763","763","763","0.001","","","","0","0.075","","","","2.435","29.74","26.2","3.696","7","28","80","61.3","45.8","34.6","58","0.5","14.3","37.3","SDN","21","10","11","2","3","3","3","3","3","2","2","","3.581","3.733","","","","","","","","","","","","","","","","","","","","","","","","","","27.906","19.159","25_2021","","","","","65.476","4.197","","","SDN","27","511","41","497"
"Senegal","SEN","2021-06-21","6","21","2021","538","Senegal","Africa","","0","0","2021-06-21","42404","1158","7.055","1158","0","Sub-Saharan Africa","-0.268","60.516","","3.315","15.854","206231","283178","9.954","847841574.79","82.347","18.786","43.055","1.74","0","67.38","8.317","4.741","8.237","7","41.45","0.723","0.712","0","0","0.869","1.507","0.165","0.698","2.448","0.33","0.25","-0.283","30.184","","0","-0.383","0","2","2","","1445","871","871","0.001","","","1","0","0.593","0.694","0.15","0.727","2.786","20.13","37.9","2.912","35.1","6.8","30","51.9","31.1","48.4","49","0.5","18.5","45.4","SEN","10","5","5","0","1","0","1","3","1","2","2","1","3.087","2.763","4.411","","","","","","","","","","","","","","-12.6","","","","","","","","","","","28.75","43.324","25_2021","","","","","73.04","4.305","","","SEN","6","532","62","476"
"Singapore","SGP","2021-06-21","6","21","2021","538","Singapore","Asia","5850343","138","0","2021-06-21","62414","34","3.555","34","0.03","East Asia & Pacific","2.231","326.939","","97.745","5.639","303657","342722","17.514","91035666405.125","7952.998","100","12.278","45.392","0","83.095","","","","-2","38.962","0.426","0.662","0","0","-1.421","-0.204","2.261","0.778","2.838","0.009","0","-1.694","37.391","79.797","0","-0.997","0","2","2","","1281","1891","1281","0.001","","238","","1","0.333","0.386","0.656","0.388","3.474","100","58.7","3.935","64.5","227.6","240","97","90.6","100","2227","0.9","41.4","64.6","SIN","3","1","2","0","0","1","2","0","0","0","0","0","11.463","1.73","8.981","","","","","","","","","","","","","","-18.2","","","","","","","","","","","27.591","203.03","25_2021","","","","","6.03","1.95","","","SGP","34","504","111","427"
"Solomon Islands","SLB","2021-06-21","6","21","2021","538","Solomon Islands","Oceania","","0","0","2021-06-21","20","0","0","0","","East Asia & Pacific","-1.054","","","2.365","0.653","11449","12045","12.966","24992541.516","23.325","","40.242","0.443","0","72.645","","","","8","42.7","0","0","0","0","1.001","1.482","-1.349","0.685","1.033","0.705","0","","","","0","","0","4","","","","1118","1118","0.001","","","","0","0.421","0.111","0.671","","3.17","","20.7","3.478","8.7","19.1","140","83.3","32.4","31.3","82","0.5","12.4","18.7","SOL","9","6","3","0","0","1","0","3","3","2","0","0","3.599","-0.426","3.15","","","","","","","","","","","","","","","","","","","","","","","","","25.717","259.961","25_2021","","","","","0","0","","","SLB","27","511","",""
"Sierra Leone","SLE","2021-06-21","6","21","2021","538","Sierra Leone","Africa","","0","0","2021-06-21","4879","82","4.419","82","0","Sub-Saharan Africa","-1.143","56.696","29.4","1.663","7.65","97350","129601","","217812918.997","105.987","14.849","41.06","1.413","0","53.895","","","30.156","7","41.2","0.749","0.725","1","0.04","1.759","1.048","-0.847","0.623","0.695","0.725","0.2","0.217","22.678","","0","-1.031","0","3","3","","1457","1457","1457","0.001","","","14122","1","0.3","0.819","0.54","0.764","1.953","0","38.2","2.371","45.8","2.4","40","32.4","31","14.5","27","0.4","25.3","44.8","SIE","13","6","7","0","1","0","1","4","3","2","2","0","2.967","2.035","4.663","","","","","","","","","","","","","","","","","","","","","","","","","26.956","174.42","25_2021","","","","","10.719","2.461","","","SLE","13","525","41","497"
"El Salvador","SLV","2021-06-21","6","21","2021","538","El Salvador","America","","0","0","2021-06-21","77484","2336","7.757","2336","0","Latin America & Caribbean","-0.447","77.175","29.4","8.616","6.421","223747","308358","14.75","412743968.361","309.881","17.236","27.132","0.686","0","72.872","5.517","9.677","83.525","8","39.212","0.18","0.36","1","0.1","1.218","0.348","-1.292","0.77","-0.787","0.623","0","0.157","","10.436","0","-0.375","0","4","4","","1424","341","341","0.003","","","","0","0.512","0.198","0.356","0.198","2.493","21.6","44.2","3.49","73.9","159.6","130","88.5","63.2","91.1","387","0.7","25.2","42.1","SAL","4","2","2","0","1","0","1","1","0","1","0","1","8.287","1.86","5.736","","","","","","","","","","","","","","-20","","","","","","","","","","","25.378","117.385","25_2021","","","","","363.821","5.899","","","SLV","13","525","48","490"
"San Marino","SMR","2021-06-21","6","21","2021","538","San Marino","Europe","34453","1","0","2021-06-21","5091","90","4.511","90","0","Europe & Central Asia","","","","59.35","0.034","","","","","563.083","","","14.842","","","","32.101","","","","","","","","","","","","","","","","","","0","","0","","","","","1733","1733","0.001","","","","0","","0.293","0.198","","","","31.1","","33.9","636.3","380","99.9","90.69","100","3081","","16.2","20.8","","","","","","","","","","","","","","","-3.388","6.333","","","","","","","","","","","","","","","","","","","","","","","","","12.885","57.711","25_2021","","","","","2663.904","7.888","","","SMR","69","469","83","455"
"Somalia","SOM","2021-06-21","6","21","2021","538","Somalia","Africa","","0","0","2021-06-21","14776","773","6.652","773","0","Sub-Saharan Africa","-2.191","","","","15.008","207274","223956","8.409","408000000","23.923","13.87","46.577","0.234","","56.709","","","","5","","0","0","0","0","0.382","-0.428","-2.156","0.355","-0.776","0.808","0","0.748","","","0","","0","1","1","234","699","234","234","0.004","","","","0","0.109","0.812","0.003","0.812","1.557","","16.6","3.401","21.5","2.9","90","52.5","19","16.2","","","0.3","17.4","SOM","20","10","10","3","3","1","1","3","3","3","3","","2.873","2.709","3.175","","","","","","","","","","","","","","","","","","","","","","","","","27.587","26.724","25_2021","","","","","51.505","3.961","","","SOM","27","511","41","497"
